pxd,cohort,manuscript_fields,manuscript_values,pride_fields,pride_values,combined_fields,combined_values
PXD049302,with_methods,24,26,25,28,26,28
PXD049682,abstract_only,8,8,22,32,25,36
PXD050045,with_methods,26,47,24,30,26,50
PXD050209,abstract_only,11,11,11,15,23,26
PXD050351,abstract_only,9,10,23,36,22,34
PXD050479,abstract_only,12,13,18,20,23,26
PXD050581,with_methods,28,51,20,29,25,57
PXD050772,abstract_only,3,4,22,41,21,35
PXD050909,with_methods,23,35,15,32,24,49
PXD050991,abstract_only,8,8,17,23,20,22
PXD051089,abstract_only,10,10,21,25,22,25
PXD051224,abstract_only,10,14,13,21,19,30
PXD051473,abstract_only,7,8,22,28,25,29
PXD051689,abstract_only,1,1,16,16,15,15
PXD051737,abstract_only,1,1,23,36,21,29
PXD051889,abstract_only,9,19,17,26,19,28
PXD052011,abstract_only,13,17,22,31,26,35
PXD052205,abstract_only,9,9,21,23,20,23
PXD052554,abstract_only,10,14,20,25,25,32
PXD052756,abstract_only,10,10,28,38,27,37
PXD052912,abstract_only,11,11,27,28,28,29
PXD053141,abstract_only,0,0,11,17,10,14
PXD053308,with_methods,28,50,25,37,29,47
PXD053502,with_methods,24,36,24,28,26,33
PXD053814,with_methods,24,30,20,26,27,31
PXD053929,abstract_only,1,1,24,24,23,25
PXD054065,abstract_only,6,7,20,22,22,26
PXD054207,abstract_only,4,4,19,22,22,28
PXD054323,abstract_only,13,13,15,23,25,32
PXD054505,abstract_only,8,8,21,21,21,27
PXD054686,abstract_only,7,8,22,24,20,33
PXD055011,abstract_only,9,11,12,12,14,14
PXD055262,abstract_only,6,10,27,29,28,39
PXD055586,with_methods,29,35,15,23,25,42
PXD055814,abstract_only,6,9,14,22,20,32
PXD055973,abstract_only,11,12,12,17,21,33
PXD056064,abstract_only,2,2,13,15,14,16
PXD056099,abstract_only,1,1,18,26,18,25
PXD056170,abstract_only,0,0,21,31,22,22
PXD056196,abstract_only,3,3,19,34,21,32
PXD056286,with_methods,25,37,18,20,21,29
PXD056371,with_methods,11,15,21,24,27,35
PXD056479,with_methods,29,49,24,33,30,46
PXD056564,abstract_only,8,8,15,17,18,20
PXD056759,abstract_only,12,12,21,22,21,28
PXD056908,abstract_only,2,2,13,18,13,17
PXD057009,abstract_only,9,9,16,16,13,13
PXD057149,with_methods,27,41,24,32,29,42
PXD057211,with_methods,17,25,8,12,18,27
PXD057390,abstract_only,5,5,23,29,21,28
PXD057472,abstract_only,8,10,29,41,29,39
PXD057614,with_methods,27,41,17,22,22,29
PXD057707,abstract_only,8,9,9,14,13,18
PXD057832,abstract_only,6,6,18,21,20,25
PXD057944,with_methods,28,32,25,27,26,27
PXD058072,abstract_only,0,0,24,32,23,29
PXD058235,with_methods,19,29,12,19,20,29
PXD058323,abstract_only,9,9,18,22,18,22
PXD058422,with_methods,25,38,18,33,21,32
PXD058539,abstract_only,8,8,21,26,17,20
PXD058584,abstract_only,14,26,18,28,22,38
PXD058689,abstract_only,13,14,16,21,20,23
PXD058753,abstract_only,14,19,15,20,24,24
PXD058847,abstract_only,8,8,12,13,12,13
PXD058963,abstract_only,12,12,25,33,28,34
PXD059092,abstract_only,12,12,8,12,20,24
PXD059386,with_methods,31,55,24,33,25,30
PXD059522,abstract_only,4,4,27,34,24,29
PXD059598,abstract_only,9,9,24,27,27,28
PXD059782,with_methods,10,10,21,38,21,32
PXD059940,abstract_only,14,14,19,24,28,37
PXD060014,abstract_only,2,2,8,9,8,8
PXD060102,abstract_only,6,6,22,28,23,31
PXD060285,with_methods,25,33,17,29,14,24
PXD060372,abstract_only,8,8,16,19,18,22
PXD060572,abstract_only,12,15,25,30,25,31
PXD060761,abstract_only,11,12,17,20,17,23
PXD060812,abstract_only,7,7,20,20,23,32
PXD060883,abstract_only,8,8,22,28,24,31
PXD060946,abstract_only,0,0,14,18,18,22
PXD061038,abstract_only,1,1,23,31,21,29
PXD061104,with_methods,24,29,11,11,23,31
PXD061212,with_methods,15,19,18,18,19,22
PXD061307,with_methods,16,16,20,27,27,33
PXD061467,abstract_only,7,7,18,23,22,24
PXD061596,abstract_only,13,14,14,18,19,26
PXD061660,abstract_only,10,11,19,22,18,21
PXD061791,abstract_only,16,18,21,24,19,22
PXD061855,abstract_only,6,6,14,16,16,23
PXD061925,with_methods,17,23,13,17,20,29
PXD062112,with_methods,19,27,13,17,19,32
PXD062322,abstract_only,7,15,21,27,19,31
PXD062431,abstract_only,8,8,11,13,15,17
PXD062536,abstract_only,14,14,15,24,17,25
PXD062745,abstract_only,11,12,20,28,24,27
PXD062852,abstract_only,2,2,24,33,25,28
PXD063002,abstract_only,14,15,19,22,21,26
PXD063179,with_methods,28,39,23,27,27,33
PXD063455,abstract_only,3,3,25,31,26,29
PXD063535,abstract_only,1,1,19,27,21,26
PXD063682,with_methods,15,15,17,20,19,22
PXD063859,abstract_only,4,5,17,17,18,18
PXD063983,with_methods,21,24,21,27,23,27
PXD064067,abstract_only,1,1,18,24,19,30
PXD064244,abstract_only,7,15,18,24,23,33
PXD064458,with_methods,16,16,26,33,29,43
PXD064632,abstract_only,7,8,18,22,21,26
PXD064788,with_methods,23,34,19,27,23,33
PXD064950,abstract_only,14,19,20,25,24,36
PXD065332,with_methods,14,14,18,20,16,18
PXD065517,abstract_only,2,2,12,13,10,12
PXD065914,with_methods,14,16,15,16,16,17
PXD066083,abstract_only,2,2,16,23,17,22
PXD066393,with_methods,19,27,18,24,23,34
PXD066795,abstract_only,4,5,19,21,23,29
PXD067102,abstract_only,11,12,21,28,26,37
PXD067229,abstract_only,15,15,16,24,19,21
PXD067589,abstract_only,3,3,15,19,15,19
PXD067947,abstract_only,1,1,15,17,19,19
PXD068150,abstract_only,10,13,22,33,24,34
PXD068527,abstract_only,3,3,19,32,16,22
PXD068775,abstract_only,1,1,25,34,18,26
PXD069113,abstract_only,9,11,20,22,19,30
PXD069754,with_methods,23,30,17,21,25,30
PXD071075,abstract_only,9,9,20,23,17,19
PXD000426,abstract_only,1,1,9,11,10,12
PXD000685,abstract_only,7,7,16,22,18,21
PXD001324,abstract_only,11,16,20,23,19,28
PXD001417,abstract_only,10,10,25,30,19,22
PXD001460,with_methods,30,44,25,36,30,42
PXD001862,abstract_only,16,20,22,31,22,38
PXD002211,abstract_only,17,20,25,27,24,28
PXD002620,abstract_only,6,6,15,16,17,19
PXD002990,with_methods,21,21,28,38,27,37
PXD003252,with_methods,27,32,23,25,28,34
PXD003406,abstract_only,12,13,28,30,25,31
PXD003414,abstract_only,10,11,23,29,27,39
PXD003544,with_methods,24,33,20,23,24,38
PXD003966,abstract_only,11,20,27,29,28,32
PXD004280,abstract_only,12,12,22,31,21,26
PXD004624,abstract_only,8,9,17,21,22,27
PXD004788,abstract_only,12,13,25,28,22,25
PXD005220,with_methods,19,25,18,19,22,29
PXD005508,with_methods,20,36,26,35,25,40
PXD005733,with_methods,28,38,22,28,27,37
PXD006035,abstract_only,2,3,14,25,16,25
PXD006268,with_methods,18,21,13,19,21,31
PXD006419,with_methods,21,29,20,30,24,33
PXD006561,with_methods,27,30,23,25,25,29
PXD006590,abstract_only,11,15,22,33,26,35
PXD006743,abstract_only,10,10,29,37,18,23
PXD006856,with_methods,8,8,26,29,20,24
PXD007123,abstract_only,6,9,25,29,23,27
PXD007258,with_methods,14,20,20,26,23,32
PXD007594,with_methods,23,31,20,26,23,33
PXD007726,with_methods,30,30,24,26,27,29
PXD007761,abstract_only,0,0,16,19,17,18
PXD007906,with_methods,27,29,28,30,28,30
PXD008033,with_methods,23,28,21,30,26,32
PXD008147,with_methods,26,36,16,22,27,40
PXD008272,with_methods,26,36,19,24,23,39
PXD008463,abstract_only,10,12,22,31,17,28
PXD008568,abstract_only,9,9,21,25,18,18
PXD008713,abstract_only,12,15,15,17,18,19
PXD008870,abstract_only,12,14,19,24,21,27
PXD008952,with_methods,24,44,17,28,28,44
PXD009041,abstract_only,7,8,12,17,18,23
PXD009149,with_methods,26,41,23,32,27,45
PXD009216,with_methods,30,42,31,40,30,37
PXD009292,abstract_only,8,8,14,18,19,28
PXD009343,with_methods,24,27,23,24,24,26
PXD009389,abstract_only,8,8,30,38,30,41
PXD009487,with_methods,27,36,15,19,29,43
PXD009565,abstract_only,10,10,16,19,20,23
PXD009624,abstract_only,13,16,17,32,16,28
PXD009747,abstract_only,5,7,21,21,20,23
PXD009830,with_methods,27,31,23,33,20,27
PXD009893,abstract_only,11,13,17,29,18,27
PXD009936,abstract_only,0,0,11,13,11,13
PXD010075,abstract_only,5,5,19,21,20,22
PXD010145,with_methods,20,29,18,33,15,25
PXD010271,abstract_only,7,7,12,27,14,22
PXD010445,with_methods,20,28,15,17,19,30
PXD010606,abstract_only,0,0,23,33,21,31
PXD010787,abstract_only,11,15,21,28,22,26
PXD011033,with_methods,26,37,25,32,24,36
PXD011204,abstract_only,12,13,15,21,14,24
PXD011492,abstract_only,9,11,22,29,24,27
PXD013523,with_methods,26,35,19,26,25,37
PXD019817,with_methods,25,26,21,25,22,28
PXD022843,abstract_only,11,13,21,28,19,19
PXD035447,abstract_only,9,9,19,23,20,22
PXD046372,abstract_only,7,7,19,29,23,37
PXD046451,with_methods,29,36,23,29,28,34
PXD046534,abstract_only,5,7,19,30,21,35
PXD046656,abstract_only,9,9,18,21,16,19
PXD046738,abstract_only,10,10,22,35,27,45
PXD046815,abstract_only,12,13,20,20,28,32
PXD046956,abstract_only,8,8,20,20,23,25
PXD047020,abstract_only,3,3,15,25,16,18
PXD047102,with_methods,17,18,18,19,19,21
PXD047200,abstract_only,4,4,17,17,22,22
PXD047331,abstract_only,1,1,16,18,12,13
PXD047438,abstract_only,5,5,17,18,16,16
PXD047577,with_methods,16,19,23,30,26,30
PXD047774,with_methods,25,30,22,26,24,28
PXD047905,abstract_only,1,1,27,33,25,28
PXD048004,abstract_only,9,15,21,27,26,33
PXD048098,abstract_only,10,10,24,33,23,28
PXD048312,abstract_only,2,2,8,8,11,11
PXD048479,abstract_only,8,9,19,22,22,33
PXD048556,abstract_only,4,4,19,20,17,18
PXD048647,with_methods,24,26,20,26,24,27
PXD048830,with_methods,27,33,25,31,27,40
PXD048929,abstract_only,4,4,24,30,19,27
PXD049019,with_methods,15,20,28,35,29,34
PXD049211,abstract_only,9,16,14,22,22,32
PXD049330,abstract_only,2,2,23,28,20,24
PXD049684,abstract_only,6,7,17,22,24,32
PXD050049,with_methods,19,22,13,16,21,25
PXD050237,with_methods,16,17,12,12,16,16
PXD050371,with_methods,18,20,18,25,18,24
PXD050539,abstract_only,8,10,19,25,18,27
PXD050618,abstract_only,12,12,19,27,20,29
PXD050782,with_methods,23,28,14,16,22,28
PXD050914,with_methods,27,32,29,38,31,39
PXD050996,abstract_only,10,12,18,20,20,26
PXD051093,with_methods,29,32,21,29,30,40
PXD051231,abstract_only,4,4,18,19,15,18
PXD051482,abstract_only,6,6,28,33,29,37
PXD051696,abstract_only,9,9,12,17,15,21
PXD051745,abstract_only,4,4,23,29,18,21
PXD051904,abstract_only,11,11,12,12,17,18
PXD052022,with_methods,21,27,23,30,24,37
PXD052254,abstract_only,8,8,26,31,26,32
PXD052555,abstract_only,14,19,16,20,20,28
PXD052767,abstract_only,1,1,15,19,17,21
PXD052949,with_methods,24,35,18,25,25,36
PXD053197,abstract_only,2,3,13,21,13,14
PXD053315,abstract_only,1,1,19,19,19,19
PXD053560,abstract_only,11,14,22,33,22,33
PXD053837,abstract_only,11,14,14,17,17,21
PXD053942,abstract_only,6,6,20,24,19,22
PXD054069,abstract_only,8,8,21,30,25,31
PXD054242,abstract_only,10,10,18,20,19,20
PXD054336,with_methods,26,30,24,31,26,33
PXD054556,abstract_only,11,13,16,21,17,21
PXD054701,with_methods,24,38,27,38,26,34
PXD055123,abstract_only,11,11,18,24,19,20
PXD055275,abstract_only,3,6,18,25,15,20
PXD055605,with_methods,30,52,24,32,31,66
PXD055818,abstract_only,11,11,20,24,29,34
PXD055978,with_methods,10,11,18,28,18,23
PXD056070,abstract_only,9,12,13,16,14,17
PXD056103,abstract_only,8,10,19,25,19,26
PXD056176,abstract_only,6,6,20,32,20,32
PXD056197,abstract_only,2,2,22,29,22,38
PXD056291,with_methods,26,32,21,32,27,30
PXD056390,abstract_only,2,2,16,31,24,36
PXD056490,with_methods,26,31,21,25,23,27
PXD056620,with_methods,27,36,18,18,24,29
PXD056781,abstract_only,6,6,14,16,15,19
PXD056909,with_methods,24,36,24,27,24,34
PXD057012,with_methods,21,34,15,23,21,40
PXD057155,with_methods,24,26,18,19,26,27
PXD057253,abstract_only,11,11,15,16,21,22
PXD057394,abstract_only,11,14,14,20,17,23
PXD057481,with_methods,17,36,12,13,17,22
PXD057615,abstract_only,10,11,18,23,18,23
PXD057708,abstract_only,10,12,28,35,26,33
PXD057842,with_methods,27,35,19,29,20,31
PXD057950,abstract_only,11,15,20,27,18,24
PXD058075,abstract_only,3,3,21,28,21,29
PXD058247,abstract_only,10,11,14,17,15,18
PXD058347,abstract_only,2,2,23,26,19,23
PXD058425,with_methods,28,50,18,20,27,47
PXD058540,abstract_only,1,1,23,27,22,25
PXD058606,with_methods,9,15,18,20,19,23
PXD058694,abstract_only,6,6,15,25,15,24
PXD058764,abstract_only,2,2,14,26,14,26
PXD058852,abstract_only,10,11,27,32,27,42
PXD058971,with_methods,22,39,15,27,22,43
PXD059093,with_methods,27,38,26,31,26,36
PXD059390,with_methods,30,54,22,29,28,71
PXD059544,abstract_only,4,4,26,32,26,30
PXD059599,with_methods,26,51,27,36,25,50
PXD059789,with_methods,25,36,17,20,26,31
PXD059942,abstract_only,12,12,19,21,17,22
PXD060027,with_methods,26,29,25,35,26,38
PXD060109,with_methods,19,33,18,33,19,36
PXD060304,abstract_only,7,7,15,23,19,30
PXD060381,with_methods,25,26,21,25,23,24
PXD060575,abstract_only,9,13,26,31,26,38
PXD060764,abstract_only,13,15,16,21,21,28
PXD060829,abstract_only,4,4,15,21,15,16
PXD060886,with_methods,26,33,25,34,24,30
PXD060950,with_methods,31,45,14,28,31,49
PXD061048,abstract_only,14,15,24,29,28,33
PXD061117,abstract_only,6,6,18,26,22,25
PXD061267,with_methods,26,35,18,21,24,27
PXD061384,abstract_only,13,13,20,22,21,23
PXD061491,abstract_only,4,4,19,19,15,15
PXD061602,abstract_only,9,9,25,31,25,29
PXD061667,abstract_only,1,1,19,24,19,33
PXD061794,abstract_only,16,16,16,20,23,27
PXD061859,abstract_only,9,10,19,19,19,21
PXD061934,with_methods,20,32,16,28,21,45
PXD062184,with_methods,29,55,25,37,27,68
PXD062324,abstract_only,11,12,22,33,25,40
PXD062437,abstract_only,9,9,22,32,23,32
PXD062616,with_methods,30,43,8,10,27,49
PXD062748,abstract_only,14,16,15,24,16,25
PXD062853,abstract_only,3,3,8,8,9,12
PXD063020,abstract_only,6,6,18,19,21,28
PXD063183,abstract_only,11,11,23,25,23,23
PXD063461,abstract_only,10,12,15,20,18,21
PXD063537,abstract_only,9,13,12,14,11,14
PXD063716,abstract_only,10,13,19,22,19,20
PXD063864,abstract_only,7,12,18,19,18,18
PXD063995,with_methods,30,40,23,40,22,28
PXD064116,abstract_only,0,0,22,29,19,23
PXD064257,abstract_only,10,27,18,36,20,34
PXD064464,abstract_only,11,11,17,24,23,30
PXD064634,abstract_only,13,15,23,29,28,37
PXD064794,abstract_only,2,2,15,21,15,24
PXD064985,abstract_only,6,6,11,15,15,22
PXD065335,abstract_only,1,1,20,22,18,24
PXD065520,with_methods,30,35,26,30,32,44
PXD065922,with_methods,15,20,13,19,17,24
PXD066132,abstract_only,1,1,21,27,21,27
PXD066461,abstract_only,5,6,15,17,17,21
PXD066872,abstract_only,12,12,21,26,22,26
PXD067122,abstract_only,14,15,17,25,17,21
PXD067234,with_methods,26,33,20,28,30,37
PXD067620,abstract_only,5,5,15,17,18,21
PXD067949,abstract_only,10,10,24,32,24,29
PXD068189,abstract_only,8,8,13,15,15,19
PXD068551,abstract_only,10,10,17,28,20,28
PXD068786,abstract_only,12,14,13,17,17,22
PXD069201,with_methods,7,8,23,32,20,26
PXD069890,with_methods,30,32,23,25,29,45
PXD071171,abstract_only,10,11,20,27,22,29
PXD000443,abstract_only,13,21,13,16,13,26
PXD000966,abstract_only,1,1,15,21,16,20
PXD001325,abstract_only,14,19,19,22,19,26
PXD001418,abstract_only,10,11,25,29,25,33
PXD001468,with_methods,25,52,24,57,24,54
PXD001873,with_methods,28,40,16,16,29,37
PXD002212,abstract_only,14,17,25,28,24,29
PXD002672,with_methods,18,19,24,30,21,23
PXD003028,with_methods,29,33,26,26,23,26
PXD003276,abstract_only,8,11,22,31,21,29
PXD003407,abstract_only,14,19,25,29,26,32
PXD003415,abstract_only,11,12,26,32,26,29
PXD003587,with_methods,25,36,26,30,22,30
PXD003967,abstract_only,10,11,23,26,28,31
PXD004320,with_methods,27,30,13,17,27,32
PXD004625,abstract_only,11,13,16,24,20,25
PXD004796,abstract_only,13,14,23,27,15,22
PXD005252,with_methods,25,36,12,16,28,35
PXD005521,abstract_only,13,17,19,26,21,38
PXD005739,abstract_only,11,11,11,11,16,18
PXD006095,with_methods,28,38,22,33,26,36
PXD006269,abstract_only,1,1,15,16,11,12
PXD006421,abstract_only,12,14,24,26,22,27
PXD006570,abstract_only,13,21,23,30,29,41
PXD006591,abstract_only,11,17,24,28,23,31
PXD006769,with_methods,26,43,14,18,29,42
PXD006863,with_methods,27,30,24,29,26,33
PXD007137,with_methods,25,39,22,34,24,54
PXD007262,with_methods,28,38,18,19,25,43
PXD007624,abstract_only,10,10,19,25,18,24
PXD007732,abstract_only,14,14,17,21,21,26
PXD007762,abstract_only,7,9,26,43,24,42
PXD007921,abstract_only,11,11,18,26,19,21
PXD008035,with_methods,16,20,21,26,22,27
PXD008150,with_methods,11,20,13,17,16,23
PXD008311,abstract_only,9,9,20,26,21,27
PXD008467,abstract_only,15,16,22,27,24,27
PXD008575,with_methods,28,37,24,32,29,39
PXD008715,abstract_only,4,4,12,15,13,16
PXD008896,with_methods,21,21,21,27,20,24
PXD008966,with_methods,12,13,11,14,12,17
PXD009084,abstract_only,4,4,17,24,18,25
PXD009158,abstract_only,10,10,21,27,20,28
PXD009234,with_methods,29,34,18,26,24,31
PXD009295,abstract_only,5,8,13,21,18,27
PXD009348,abstract_only,7,8,19,24,14,17
PXD009393,abstract_only,14,15,19,24,23,34
PXD009495,with_methods,24,36,13,21,21,29
PXD009570,with_methods,19,20,21,26,23,30
PXD009645,with_methods,21,31,17,20,24,34
PXD009759,abstract_only,3,5,15,21,14,21
PXD009838,with_methods,25,28,24,28,23,31
PXD009895,with_methods,28,49,10,10,28,46
PXD009948,abstract_only,3,3,24,28,24,29
PXD010088,with_methods,13,27,15,22,15,24
PXD010150,with_methods,22,32,9,10,26,43
PXD010284,abstract_only,10,10,23,28,23,23
PXD010466,abstract_only,2,2,23,30,23,30
PXD010622,abstract_only,10,11,13,24,15,22
PXD010805,abstract_only,10,13,28,41,30,45
PXD011042,with_methods,26,38,19,23,25,42
PXD011241,with_methods,21,21,20,25,20,22
PXD011599,with_methods,28,37,18,32,29,48
PXD013868,abstract_only,10,10,20,44,18,36
PXD020122,abstract_only,12,16,18,22,24,28
PXD022983,with_methods,27,30,13,22,27,35
PXD035780,abstract_only,5,5,21,29,20,31
PXD046393,abstract_only,2,2,15,18,18,21
PXD046457,abstract_only,4,4,21,36,19,30
PXD046544,with_methods,12,13,24,31,28,39
PXD046660,abstract_only,7,7,18,18,20,21
PXD046742,abstract_only,11,14,20,21,24,26
PXD046822,with_methods,23,25,22,27,25,35
PXD046976,abstract_only,11,17,25,38,21,42
PXD047036,abstract_only,8,8,23,27,26,30
PXD047108,abstract_only,8,8,23,23,24,32
PXD047202,abstract_only,4,4,19,23,22,29
PXD047339,abstract_only,3,3,24,27,24,29
PXD047450,abstract_only,4,4,22,35,23,29
PXD047604,with_methods,17,19,26,33,27,32
PXD047819,abstract_only,2,2,17,19,20,23
PXD047910,with_methods,26,42,13,14,23,31
PXD048009,with_methods,27,36,18,23,28,36
PXD048101,abstract_only,1,1,11,11,8,8
PXD048323,with_methods,17,19,25,34,29,45
PXD048503,abstract_only,10,10,23,32,18,26
PXD048589,abstract_only,11,11,15,26,20,31
PXD048675,abstract_only,12,15,19,25,27,37
PXD048839,with_methods,15,16,24,26,24,29
PXD048931,abstract_only,3,3,22,31,19,26
PXD049034,with_methods,27,60,21,31,26,31
PXD049235,abstract_only,1,1,23,35,20,27
PXD049336,with_methods,27,53,24,33,23,44
PXD049708,abstract_only,0,0,19,32,19,30
PXD050077,with_methods,21,22,23,30,21,29
PXD050256,abstract_only,10,10,23,34,23,41
PXD050391,abstract_only,1,1,17,20,16,19
PXD050547,with_methods,26,31,22,32,26,40
PXD050623,abstract_only,3,3,18,25,19,34
PXD050841,with_methods,16,21,16,17,20,25
PXD050916,with_methods,26,28,19,21,24,31
PXD051015,abstract_only,7,7,20,23,26,33
PXD051148,with_methods,18,30,16,26,19,32
PXD051269,abstract_only,1,1,16,21,16,18
PXD051538,with_methods,18,26,19,23,16,21
PXD051697,with_methods,17,22,14,14,17,20
PXD051747,abstract_only,19,35,24,50,26,39
PXD051958,abstract_only,4,4,19,20,18,22
PXD052033,abstract_only,10,12,20,23,21,28
PXD052259,abstract_only,11,11,28,42,26,29
PXD052627,abstract_only,9,9,17,23,17,22
PXD052806,with_methods,26,26,23,23,20,23
PXD053008,abstract_only,9,9,19,27,26,30
PXD053198,abstract_only,9,9,27,33,26,28
PXD053353,with_methods,9,9,16,16,16,16
PXD053578,with_methods,10,10,21,33,25,35
PXD053864,abstract_only,9,10,23,28,26,34
PXD053945,abstract_only,6,6,19,20,20,21
PXD054073,with_methods,24,35,14,26,19,30
PXD054248,abstract_only,10,10,18,24,18,25
PXD054378,with_methods,16,19,16,20,18,40
PXD054611,abstract_only,3,3,15,17,14,16
PXD054717,abstract_only,10,11,14,21,18,29
PXD055141,with_methods,26,64,20,29,26,49
PXD055348,with_methods,12,18,13,23,21,36
PXD055623,abstract_only,8,9,22,31,23,35
PXD055884,abstract_only,9,9,15,22,18,22
PXD055983,abstract_only,5,5,14,17,19,21
PXD056077,with_methods,25,36,18,23,30,51
PXD056141,abstract_only,2,2,22,32,20,26
PXD056181,abstract_only,7,7,14,18,17,20
PXD056199,abstract_only,4,4,16,31,22,45
PXD056295,abstract_only,8,8,19,24,20,24
PXD056421,abstract_only,3,3,18,25,19,24
PXD056499,with_methods,12,12,21,26,21,26
PXD056689,abstract_only,10,11,18,23,22,24
PXD056783,abstract_only,8,8,13,17,18,23
PXD056910,abstract_only,3,3,16,22,17,19
PXD057020,abstract_only,4,4,12,14,13,14
PXD057157,abstract_only,4,4,17,18,20,23
PXD057269,abstract_only,2,3,22,37,21,39
PXD057405,with_methods,21,30,16,16,19,24
PXD057491,abstract_only,8,9,21,28,19,25
PXD057632,abstract_only,10,10,22,35,24,37
PXD057759,abstract_only,10,10,18,22,22,26
PXD057847,with_methods,23,35,14,15,22,31
PXD057968,abstract_only,9,9,24,33,25,31
PXD058080,abstract_only,1,1,20,24,22,29
PXD058256,abstract_only,9,9,27,33,28,40
PXD058348,abstract_only,17,18,15,16,19,20
PXD058465,abstract_only,11,16,19,32,20,35
PXD058541,abstract_only,3,3,20,31,24,36
PXD058612,abstract_only,7,8,25,42,25,36
PXD058706,abstract_only,12,12,25,31,26,35
PXD058777,with_methods,27,34,22,26,27,36
PXD058868,abstract_only,9,9,21,32,21,34
PXD058992,with_methods,14,16,26,31,27,34
PXD059115,abstract_only,9,9,26,33,23,28
PXD059416,with_methods,34,69,19,29,29,59
PXD059550,with_methods,17,17,19,25,25,30
PXD059659,with_methods,13,13,21,26,28,37
PXD059803,abstract_only,2,2,21,26,23,29
PXD059945,with_methods,25,39,21,38,25,39
PXD060033,with_methods,22,27,14,23,20,32
PXD060121,with_methods,23,25,23,30,22,27
PXD060305,abstract_only,1,1,20,20,21,25
PXD060406,abstract_only,6,6,25,31,27,32
PXD060621,abstract_only,4,4,14,19,14,19
PXD060781,abstract_only,2,2,17,19,21,23
PXD060843,abstract_only,10,10,20,30,20,31
PXD060890,abstract_only,8,8,19,26,20,29
PXD060971,abstract_only,0,0,10,12,9,9
PXD061050,with_methods,22,34,20,23,28,50
PXD061144,with_methods,27,30,23,33,28,38
PXD061275,abstract_only,7,7,19,23,22,29
PXD061399,abstract_only,6,6,21,28,18,24
PXD061537,abstract_only,7,7,19,25,25,34
PXD061604,with_methods,27,30,25,33,26,33
PXD061693,abstract_only,0,0,19,30,18,26
PXD061795,abstract_only,9,12,23,29,20,28
PXD061861,abstract_only,11,11,21,28,26,34
PXD061936,abstract_only,1,1,21,24,25,28
PXD062200,with_methods,14,22,22,31,29,40
PXD062330,abstract_only,9,9,17,23,17,20
PXD062440,abstract_only,5,5,23,26,20,22
PXD062619,with_methods,28,41,6,6,27,44
PXD062774,with_methods,12,26,22,26,24,33
PXD062854,with_methods,23,32,17,20,24,35
PXD063023,abstract_only,14,14,20,24,22,25
PXD063253,abstract_only,2,2,26,45,20,38
PXD063465,abstract_only,1,1,18,23,22,26
PXD063550,abstract_only,8,8,21,32,20,35
PXD063721,abstract_only,4,4,25,32,23,31
PXD063935,with_methods,26,34,24,35,28,38
PXD064004,abstract_only,4,4,20,22,18,20
PXD064117,abstract_only,6,6,18,22,18,24
PXD064262,abstract_only,8,11,20,31,25,41
PXD064519,with_methods,17,21,19,24,20,29
PXD064640,abstract_only,7,7,22,32,22,31
PXD064834,abstract_only,11,11,11,11,13,14
PXD065001,abstract_only,5,5,16,17,15,23
PXD065357,abstract_only,3,3,23,36,21,29
PXD065566,abstract_only,3,3,17,18,20,29
PXD065965,abstract_only,11,15,20,23,23,27
PXD066134,abstract_only,9,9,22,22,20,31
PXD066470,abstract_only,7,7,16,23,18,22
PXD066874,with_methods,27,49,23,27,23,40
PXD067153,abstract_only,13,14,23,38,26,45
PXD067299,abstract_only,7,11,19,22,23,39
PXD067622,abstract_only,6,7,19,21,19,22
PXD067955,abstract_only,1,1,21,30,23,33
PXD068296,abstract_only,1,1,21,25,17,21
PXD068578,abstract_only,2,3,20,24,19,22
PXD068828,with_methods,28,47,20,28,29,40
PXD069257,with_methods,13,16,13,19,25,35
PXD070195,with_methods,23,26,19,24,20,26
PXD071222,abstract_only,6,6,17,26,19,25
