pxd,cohort,old_fields,new_fields,shared_fields,earlier_only_fields,expanded_only_fields,old_values,new_values,field_jaccard,field_delta,value_delta,equivalent_pairs,hierarchical_inclusive_pairs,semantic_inclusive_pairs,equivalent_pairs_jaccard,hierarchical_inclusive_pairs_jaccard,semantic_inclusive_pairs_jaccard
PXD008939,abstract_only,12,15,11,1,4,12,18,0.6875,3,6,7,7,10,0.30434782608695654,0.30434782608695654,0.5
PXD009029,with_methods,18,22,17,1,5,21,25,0.7391304347826086,4,4,9,9,12,0.24324324324324326,0.24324324324324326,0.35294117647058826
PXD009142,with_methods,28,29,28,0,1,35,45,0.9655172413793104,1,10,20,20,27,0.3333333333333333,0.3333333333333333,0.5094339622641509
PXD009197,abstract_only,7,27,6,1,21,8,31,0.21428571428571427,20,23,3,3,5,0.08333333333333333,0.08333333333333333,0.14705882352941177
PXD009267,abstract_only,8,17,6,2,11,10,22,0.3157894736842105,9,12,2,2,4,0.06666666666666667,0.06666666666666667,0.14285714285714285
PXD009321,with_methods,26,22,21,5,1,34,30,0.7777777777777778,-4,-4,17,17,20,0.3617021276595745,0.3617021276595745,0.45454545454545453
PXD009374,with_methods,28,30,27,1,3,47,35,0.8709677419354839,2,-12,18,18,26,0.28125,0.28125,0.4642857142857143
PXD009476,with_methods,27,26,25,2,1,49,41,0.8928571428571429,-1,-8,23,23,31,0.34328358208955223,0.34328358208955223,0.5254237288135594
PXD009560,abstract_only,12,22,11,1,11,14,28,0.4782608695652174,10,14,5,5,9,0.13513513513513514,0.13513513513513514,0.2727272727272727
PXD009603,with_methods,12,18,12,0,6,14,29,0.6666666666666666,6,15,7,7,8,0.19444444444444445,0.19444444444444445,0.22857142857142856
PXD009737,abstract_only,12,20,11,1,9,14,21,0.5238095238095238,8,7,7,7,10,0.25,0.25,0.4
PXD009801,abstract_only,11,26,10,1,16,12,43,0.37037037037037035,15,31,8,8,10,0.1702127659574468,0.1702127659574468,0.2222222222222222
PXD009880,abstract_only,9,20,9,0,11,9,23,0.45,11,14,3,3,6,0.10344827586206896,0.10344827586206896,0.23076923076923078
PXD009931,abstract_only,10,21,10,0,11,11,27,0.47619047619047616,11,16,8,9,10,0.26666666666666666,0.3103448275862069,0.35714285714285715
PXD010061,abstract_only,2,18,2,0,16,2,26,0.1111111111111111,16,24,0,0,0,0.0,0.0,0.0
PXD010132,abstract_only,2,15,2,0,13,2,17,0.13333333333333333,13,15,1,1,2,0.05555555555555555,0.05555555555555555,0.11764705882352941
PXD010223,with_methods,16,16,14,2,2,18,16,0.7777777777777778,0,-2,10,11,11,0.4166666666666667,0.4782608695652174,0.4782608695652174
PXD010393,with_methods,23,24,22,1,2,33,38,0.88,1,5,26,26,29,0.5777777777777777,0.5777777777777777,0.6904761904761905
PXD010538,with_methods,15,22,14,1,8,27,39,0.6086956521739131,7,12,14,14,18,0.2692307692307692,0.2692307692307692,0.375
PXD010708,abstract_only,10,25,10,0,15,14,32,0.4,15,18,9,9,9,0.24324324324324326,0.24324324324324326,0.24324324324324326
PXD011000,abstract_only,13,24,13,0,11,14,28,0.5416666666666666,11,14,8,8,9,0.23529411764705882,0.23529411764705882,0.2727272727272727
PXD011175,with_methods,21,19,19,2,0,28,24,0.9047619047619048,-2,-4,13,13,17,0.3333333333333333,0.3333333333333333,0.4857142857142857
PXD011456,with_methods,8,23,7,1,16,8,25,0.2916666666666667,15,17,4,4,6,0.13793103448275862,0.13793103448275862,0.2222222222222222
PXD012755,with_methods,13,11,8,5,3,17,13,0.5,-2,-4,5,5,5,0.2,0.2,0.2
PXD017799,with_methods,22,23,20,2,3,23,29,0.8,1,6,14,14,17,0.3684210526315789,0.3684210526315789,0.4857142857142857
PXD021106,with_methods,25,19,18,7,1,25,19,0.6923076923076923,-6,-6,13,13,17,0.41935483870967744,0.41935483870967744,0.6296296296296297
PXD030990,with_methods,26,26,26,0,0,29,28,1.0,0,-1,22,22,25,0.6285714285714286,0.6285714285714286,0.78125
PXD046331,with_methods,18,25,18,0,7,19,31,0.72,7,12,15,16,16,0.42857142857142855,0.47058823529411764,0.47058823529411764
PXD046417,abstract_only,4,16,4,0,12,5,24,0.25,12,19,4,4,4,0.16,0.16,0.16
PXD046508,abstract_only,5,20,1,4,19,5,22,0.041666666666666664,15,17,1,1,1,0.038461538461538464,0.038461538461538464,0.038461538461538464
PXD046637,abstract_only,9,20,8,1,12,9,31,0.38095238095238093,11,22,5,6,8,0.14285714285714285,0.17647058823529413,0.25
PXD046734,abstract_only,8,26,8,0,18,9,39,0.3076923076923077,18,30,6,7,8,0.14285714285714285,0.17073170731707318,0.2
PXD046793,abstract_only,8,16,8,0,8,8,21,0.5,8,13,4,4,7,0.16,0.16,0.3181818181818182
PXD046871,with_methods,28,28,26,2,2,36,43,0.8666666666666667,0,7,21,21,27,0.3620689655172414,0.3620689655172414,0.5192307692307693
PXD047009,abstract_only,5,20,4,1,16,8,24,0.19047619047619047,15,16,5,5,5,0.18518518518518517,0.18518518518518517,0.18518518518518517
PXD047066,with_methods,24,24,21,3,3,42,26,0.7777777777777778,0,-16,20,20,22,0.4166666666666667,0.4166666666666667,0.4782608695652174
PXD047169,with_methods,25,24,18,7,6,39,37,0.5806451612903226,-1,-2,17,17,20,0.288135593220339,0.288135593220339,0.35714285714285715
PXD047313,with_methods,24,27,24,0,3,28,31,0.8888888888888888,3,3,19,19,21,0.475,0.475,0.5526315789473685
PXD047435,abstract_only,3,17,3,0,14,3,17,0.17647058823529413,14,14,1,1,2,0.05263157894736842,0.05263157894736842,0.1111111111111111
PXD047573,abstract_only,4,20,2,2,18,4,28,0.09090909090909091,16,24,2,2,2,0.06666666666666667,0.06666666666666667,0.06666666666666667
PXD047758,with_methods,16,18,15,1,3,19,25,0.7894736842105263,2,6,15,15,15,0.5172413793103449,0.5172413793103449,0.5172413793103449
PXD047878,with_methods,20,30,16,4,14,48,39,0.47058823529411764,10,-9,13,13,14,0.17567567567567569,0.17567567567567569,0.1917808219178082
PXD047979,with_methods,27,26,24,3,2,39,38,0.8275862068965517,-1,-1,21,21,24,0.375,0.375,0.4528301886792453
PXD048082,with_methods,21,23,21,0,2,22,32,0.9130434782608695,2,10,15,15,18,0.38461538461538464,0.38461538461538464,0.5
PXD048225,abstract_only,12,13,7,5,6,26,25,0.3888888888888889,1,-1,12,12,12,0.3076923076923077,0.3076923076923077,0.3076923076923077
PXD048460,abstract_only,3,19,3,0,16,3,27,0.15789473684210525,16,24,1,1,2,0.034482758620689655,0.034482758620689655,0.07142857142857142
PXD048538,with_methods,21,26,21,0,5,44,58,0.8076923076923077,5,14,38,38,41,0.59375,0.59375,0.6721311475409836
PXD048637,abstract_only,0,20,0,0,20,0,34,0.0,20,34,0,0,0,0.0,0.0,0.0
PXD048734,abstract_only,6,12,4,2,8,13,21,0.2857142857142857,6,8,10,10,10,0.4166666666666667,0.4166666666666667,0.4166666666666667
PXD048880,with_methods,32,26,26,6,0,39,32,0.8125,-6,-7,22,22,25,0.4489795918367347,0.4489795918367347,0.5434782608695652
PXD048975,abstract_only,2,22,2,0,20,2,27,0.09090909090909091,20,25,1,1,1,0.03571428571428571,0.03571428571428571,0.03571428571428571
PXD049116,abstract_only,7,22,7,0,15,8,38,0.3181818181818182,15,30,4,4,7,0.09523809523809523,0.09523809523809523,0.1794871794871795
PXD049299,abstract_only,9,28,9,0,19,9,35,0.32142857142857145,19,26,7,7,8,0.1891891891891892,0.1891891891891892,0.2222222222222222
PXD049681,abstract_only,4,17,4,0,13,5,22,0.23529411764705882,13,17,3,3,5,0.125,0.125,0.22727272727272727
PXD050005,abstract_only,13,22,12,1,10,13,27,0.5217391304347826,9,14,8,8,8,0.25,0.25,0.25
PXD050141,abstract_only,6,19,5,1,14,6,25,0.25,13,19,4,4,4,0.14814814814814814,0.14814814814814814,0.14814814814814814
PXD050321,with_methods,29,27,25,4,2,34,36,0.8064516129032258,-2,2,21,21,27,0.42857142857142855,0.42857142857142855,0.627906976744186
PXD050453,abstract_only,9,21,8,1,13,9,38,0.36363636363636365,12,29,3,4,6,0.06818181818181818,0.09302325581395349,0.14634146341463414
PXD050580,with_methods,25,25,22,3,3,35,41,0.7857142857142857,0,6,17,18,21,0.288135593220339,0.3103448275862069,0.38181818181818183
PXD050738,abstract_only,11,22,11,0,11,11,26,0.5,11,15,7,7,8,0.23333333333333334,0.23333333333333334,0.27586206896551724
PXD050904,with_methods,21,22,21,0,1,40,43,0.9545454545454546,1,3,18,18,24,0.27692307692307694,0.27692307692307694,0.4067796610169492
PXD050990,abstract_only,3,22,3,0,19,3,27,0.13636363636363635,19,24,2,2,3,0.07142857142857142,0.07142857142857142,0.1111111111111111
PXD051088,abstract_only,10,21,7,3,14,15,24,0.2916666666666667,11,9,6,6,7,0.18181818181818182,0.18181818181818182,0.21875
PXD051204,abstract_only,7,17,5,2,12,8,19,0.2631578947368421,10,11,4,4,4,0.17391304347826086,0.17391304347826086,0.17391304347826086
PXD051418,with_methods,21,21,20,1,1,23,31,0.9090909090909091,0,8,15,15,19,0.38461538461538464,0.38461538461538464,0.5428571428571428
PXD051678,abstract_only,4,16,2,2,14,4,18,0.1111111111111111,12,14,1,1,1,0.047619047619047616,0.047619047619047616,0.047619047619047616
PXD051734,abstract_only,11,16,8,3,8,13,19,0.42105263157894735,5,6,7,7,9,0.28,0.28,0.391304347826087
PXD051876,abstract_only,2,18,2,0,16,2,29,0.1111111111111111,16,27,0,0,2,0.0,0.0,0.06896551724137931
PXD051995,abstract_only,1,18,1,0,17,1,18,0.05555555555555555,17,17,0,0,0,0.0,0.0,0.0
PXD052203,with_methods,27,28,27,0,1,34,51,0.9642857142857143,1,17,31,31,32,0.5740740740740741,0.5740740740740741,0.6037735849056604
PXD052414,abstract_only,12,19,10,2,9,13,22,0.47619047619047616,7,9,5,6,8,0.16666666666666666,0.20689655172413793,0.2962962962962963
PXD052745,abstract_only,11,21,11,0,10,11,32,0.5238095238095238,10,21,7,7,9,0.19444444444444445,0.19444444444444445,0.2647058823529412
PXD052904,abstract_only,8,18,7,1,11,9,20,0.3684210526315789,10,11,6,6,7,0.2608695652173913,0.2608695652173913,0.3181818181818182
PXD053138,with_methods,27,28,27,0,1,36,42,0.9642857142857143,1,6,30,31,33,0.625,0.6595744680851063,0.7333333333333333
PXD053300,abstract_only,5,21,5,0,16,5,27,0.23809523809523808,16,22,4,4,5,0.14285714285714285,0.14285714285714285,0.18518518518518517
PXD053500,abstract_only,0,25,0,0,25,0,27,0.0,25,27,0,0,0,0.0,0.0,0.0
PXD053783,abstract_only,10,20,10,0,10,11,24,0.5,10,13,8,9,9,0.2962962962962963,0.34615384615384615,0.34615384615384615
PXD053894,abstract_only,12,18,10,2,8,12,28,0.5,6,16,7,7,8,0.21212121212121213,0.21212121212121213,0.25
PXD054042,abstract_only,3,23,2,1,21,3,26,0.08333333333333333,20,23,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407
PXD054197,abstract_only,8,15,5,3,10,9,17,0.2777777777777778,7,8,3,3,4,0.13043478260869565,0.13043478260869565,0.18181818181818182
PXD054317,abstract_only,4,17,4,0,13,5,21,0.23529411764705882,13,16,2,2,3,0.08333333333333333,0.08333333333333333,0.13043478260869565
PXD054449,abstract_only,13,22,12,1,10,13,26,0.5217391304347826,9,13,10,10,11,0.3448275862068966,0.3448275862068966,0.39285714285714285
PXD054681,abstract_only,10,20,10,0,10,10,25,0.5,10,15,7,7,8,0.25,0.25,0.2962962962962963
PXD054972,abstract_only,3,17,2,1,15,3,22,0.1111111111111111,14,19,2,2,2,0.08695652173913043,0.08695652173913043,0.08695652173913043
PXD055242,abstract_only,12,22,12,0,10,13,27,0.5454545454545454,10,14,9,9,11,0.2903225806451613,0.2903225806451613,0.3793103448275862
PXD055566,abstract_only,7,15,7,0,8,7,19,0.4666666666666667,8,12,5,5,6,0.23809523809523808,0.23809523809523808,0.3
PXD055775,abstract_only,2,25,2,0,23,2,29,0.08,23,27,1,1,2,0.03333333333333333,0.03333333333333333,0.06896551724137931
PXD055956,abstract_only,3,13,2,1,11,3,15,0.14285714285714285,10,12,2,2,2,0.125,0.125,0.125
PXD056061,with_methods,27,23,23,4,0,34,28,0.8518518518518519,-4,-6,18,18,20,0.4090909090909091,0.4090909090909091,0.47619047619047616
PXD056096,abstract_only,10,17,10,0,7,10,22,0.5882352941176471,7,12,4,4,6,0.14285714285714285,0.14285714285714285,0.23076923076923078
PXD056168,with_methods,26,20,20,6,0,31,23,0.7692307692307693,-6,-8,13,13,17,0.3170731707317073,0.3170731707317073,0.4594594594594595
PXD056194,abstract_only,5,21,5,0,16,5,33,0.23809523809523808,16,28,3,3,4,0.08571428571428572,0.08571428571428572,0.11764705882352941
PXD056281,abstract_only,5,23,5,0,18,5,31,0.21739130434782608,18,26,2,3,3,0.058823529411764705,0.09090909090909091,0.09090909090909091
PXD056347,abstract_only,1,20,1,0,19,1,21,0.05,19,20,0,0,0,0.0,0.0,0.0
PXD056475,abstract_only,10,19,9,1,10,10,27,0.45,9,17,5,5,6,0.15625,0.15625,0.1935483870967742
PXD056559,abstract_only,5,14,4,1,10,6,20,0.26666666666666666,9,14,2,2,2,0.08333333333333333,0.08333333333333333,0.08333333333333333
PXD056736,with_methods,16,17,15,1,2,20,26,0.8333333333333334,1,6,15,15,18,0.4838709677419355,0.4838709677419355,0.6428571428571429
PXD056902,abstract_only,10,25,9,1,16,10,38,0.34615384615384615,15,28,4,4,6,0.09090909090909091,0.09090909090909091,0.14285714285714285
PXD057005,abstract_only,8,23,7,1,16,9,33,0.2916666666666667,15,24,4,4,5,0.10526315789473684,0.10526315789473684,0.13513513513513514
PXD057122,with_methods,24,26,23,1,3,25,38,0.8518518518518519,2,13,19,19,20,0.4318181818181818,0.4318181818181818,0.46511627906976744
PXD057208,abstract_only,9,17,8,1,9,9,23,0.4444444444444444,8,14,5,5,7,0.18518518518518517,0.18518518518518517,0.28
PXD057374,abstract_only,8,17,8,0,9,8,25,0.47058823529411764,9,17,5,5,7,0.17857142857142858,0.17857142857142858,0.2692307692307692
PXD057470,abstract_only,10,27,10,0,17,10,31,0.37037037037037035,17,21,9,9,9,0.28125,0.28125,0.28125
PXD057601,abstract_only,13,24,12,1,12,13,30,0.48,11,17,6,6,9,0.16216216216216217,0.16216216216216217,0.2647058823529412
PXD057703,abstract_only,3,22,3,0,19,3,34,0.13636363636363635,19,31,1,1,2,0.027777777777777776,0.027777777777777776,0.05714285714285714
PXD057813,abstract_only,7,18,7,0,11,7,20,0.3888888888888889,11,13,4,4,6,0.17391304347826086,0.17391304347826086,0.2857142857142857
PXD057932,abstract_only,7,17,7,0,10,8,18,0.4117647058823529,10,10,3,4,5,0.13043478260869565,0.18181818181818182,0.23809523809523808
PXD058049,with_methods,27,28,27,0,1,31,36,0.9642857142857143,1,5,27,28,31,0.675,0.717948717948718,0.8611111111111112
PXD058196,with_methods,23,25,22,1,3,28,30,0.8461538461538461,2,2,20,20,23,0.5263157894736842,0.5263157894736842,0.6571428571428571
PXD058320,abstract_only,12,23,12,0,11,12,27,0.5217391304347826,11,15,9,9,10,0.3,0.3,0.3448275862068966
PXD058418,abstract_only,1,23,1,0,22,1,29,0.043478260869565216,22,28,1,1,1,0.034482758620689655,0.034482758620689655,0.034482758620689655
PXD058523,abstract_only,8,17,7,1,10,10,18,0.3888888888888889,9,8,4,5,5,0.16666666666666666,0.21739130434782608,0.21739130434782608
PXD058579,abstract_only,8,29,7,1,22,8,35,0.23333333333333334,21,27,2,2,4,0.04878048780487805,0.04878048780487805,0.10256410256410256
PXD058661,with_methods,26,26,24,2,2,31,30,0.8571428571428571,0,-1,19,19,25,0.4523809523809524,0.4523809523809524,0.6944444444444444
PXD058744,with_methods,31,28,28,3,0,49,47,0.9032258064516129,-3,-2,34,35,38,0.5483870967741935,0.5737704918032787,0.6551724137931034
PXD058846,with_methods,23,28,22,1,6,34,47,0.7586206896551724,5,13,20,20,23,0.32786885245901637,0.32786885245901637,0.39655172413793105
PXD058948,with_methods,25,24,24,1,0,25,28,0.96,-1,3,22,22,23,0.7096774193548387,0.7096774193548387,0.7666666666666667
PXD059088,abstract_only,6,20,6,0,14,6,25,0.3,14,19,4,4,5,0.14814814814814814,0.14814814814814814,0.19230769230769232
PXD059356,with_methods,21,24,21,0,3,27,30,0.875,3,3,14,14,20,0.32558139534883723,0.32558139534883723,0.5405405405405406
PXD059513,with_methods,14,24,13,1,11,14,29,0.52,10,15,8,8,9,0.22857142857142856,0.22857142857142856,0.2647058823529412
PXD059597,with_methods,24,23,23,1,0,31,28,0.9583333333333334,-1,-3,20,20,23,0.5128205128205128,0.5128205128205128,0.6388888888888888
PXD059752,abstract_only,4,19,4,0,15,4,19,0.21052631578947367,15,15,3,3,4,0.15,0.15,0.21052631578947367
PXD059932,abstract_only,9,19,9,0,10,9,24,0.47368421052631576,10,15,6,6,8,0.2222222222222222,0.2222222222222222,0.32
PXD059985,abstract_only,12,19,9,3,10,12,24,0.4090909090909091,7,12,8,8,8,0.2857142857142857,0.2857142857142857,0.2857142857142857
PXD060057,abstract_only,12,24,11,1,13,13,34,0.44,12,21,5,5,7,0.11904761904761904,0.11904761904761904,0.175
PXD060280,abstract_only,5,19,5,0,14,12,25,0.2631578947368421,14,13,1,1,2,0.027777777777777776,0.027777777777777776,0.05714285714285714
PXD060357,with_methods,20,25,20,0,5,28,31,0.8,5,3,22,22,23,0.5945945945945946,0.5945945945945946,0.6388888888888888
PXD060570,abstract_only,1,17,1,0,16,1,20,0.058823529411764705,16,19,1,1,1,0.05,0.05,0.05
PXD060715,abstract_only,8,21,8,0,13,8,24,0.38095238095238093,13,16,4,4,5,0.14285714285714285,0.14285714285714285,0.18518518518518517
PXD060811,abstract_only,11,18,8,3,10,14,24,0.38095238095238093,7,10,7,7,8,0.22580645161290322,0.22580645161290322,0.26666666666666666
PXD060878,with_methods,27,27,26,1,1,34,32,0.9285714285714286,0,-2,22,22,23,0.5,0.5,0.5348837209302325
PXD060937,with_methods,26,26,26,0,0,34,40,1.0,0,6,28,28,31,0.6086956521739131,0.6086956521739131,0.7209302325581395
PXD061019,abstract_only,11,23,10,1,13,12,31,0.4166666666666667,12,19,5,5,8,0.13157894736842105,0.13157894736842105,0.22857142857142856
PXD061103,with_methods,23,26,23,0,3,30,33,0.8846153846153846,3,3,18,18,20,0.4,0.4,0.46511627906976744
PXD061195,with_methods,25,26,25,0,1,29,34,0.9615384615384616,1,5,17,17,22,0.3695652173913043,0.3695652173913043,0.5365853658536586
PXD061306,abstract_only,9,20,8,1,12,9,23,0.38095238095238093,11,14,6,6,7,0.23076923076923078,0.23076923076923078,0.28
PXD061466,abstract_only,11,19,11,0,8,13,29,0.5789473684210527,8,16,9,10,12,0.2727272727272727,0.3125,0.4
PXD061593,with_methods,25,27,24,1,3,28,35,0.8571428571428571,2,7,16,16,17,0.3404255319148936,0.3404255319148936,0.3695652173913043
PXD061658,with_methods,19,21,18,1,3,26,31,0.8181818181818182,2,5,21,21,21,0.5833333333333334,0.5833333333333334,0.5833333333333334
PXD061784,abstract_only,9,15,9,0,6,14,20,0.6,6,6,8,9,10,0.3076923076923077,0.36,0.4166666666666667
PXD061850,abstract_only,5,19,5,0,14,5,24,0.2631578947368421,14,19,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407
PXD061918,with_methods,26,25,25,1,0,36,36,0.9615384615384616,-1,0,26,26,28,0.5652173913043478,0.5652173913043478,0.6363636363636364
PXD062109,abstract_only,4,20,3,1,17,4,23,0.14285714285714285,16,19,2,2,2,0.08,0.08,0.08
PXD062321,abstract_only,1,17,1,0,16,1,20,0.058823529411764705,16,19,1,1,1,0.05,0.05,0.05
PXD062420,abstract_only,2,21,2,0,19,3,22,0.09523809523809523,19,19,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664
PXD062520,abstract_only,10,20,8,2,12,14,30,0.36363636363636365,10,16,5,6,7,0.1282051282051282,0.15789473684210525,0.1891891891891892
PXD062730,abstract_only,7,13,5,2,8,7,16,0.3333333333333333,6,9,4,4,5,0.21052631578947367,0.21052631578947367,0.2777777777777778
PXD062847,with_methods,10,13,9,1,4,10,15,0.6428571428571429,3,5,6,7,8,0.3157894736842105,0.3888888888888889,0.47058823529411764
PXD062969,abstract_only,7,21,6,1,15,9,28,0.2727272727272727,14,19,3,3,4,0.08823529411764706,0.08823529411764706,0.12121212121212122
PXD063142,abstract_only,7,22,7,0,15,7,25,0.3181818181818182,15,18,3,4,5,0.10344827586206896,0.14285714285714285,0.18518518518518517
PXD063447,with_methods,24,26,23,1,3,24,27,0.8518518518518519,2,3,17,17,19,0.5,0.5,0.59375
PXD063526,abstract_only,7,20,6,1,14,7,27,0.2857142857142857,13,20,2,2,3,0.0625,0.0625,0.0967741935483871
PXD063671,abstract_only,7,21,5,2,16,7,25,0.21739130434782608,14,18,1,2,5,0.03225806451612903,0.06666666666666667,0.18518518518518517
PXD063840,abstract_only,6,17,5,1,12,7,20,0.2777777777777778,11,13,2,2,3,0.08,0.08,0.125
PXD063977,abstract_only,12,21,11,1,10,12,28,0.5,9,16,9,9,9,0.2903225806451613,0.2903225806451613,0.2903225806451613
PXD064066,abstract_only,8,15,6,2,9,8,17,0.35294117647058826,7,9,4,4,5,0.19047619047619047,0.19047619047619047,0.25
PXD064236,abstract_only,9,19,8,1,11,10,20,0.4,10,10,8,8,8,0.36363636363636365,0.36363636363636365,0.36363636363636365
PXD064455,abstract_only,0,20,0,0,20,0,23,0.0,20,23,0,0,0,0.0,0.0,0.0
PXD064573,with_methods,28,29,28,0,1,43,48,0.9655172413793104,1,5,34,34,35,0.5964912280701754,0.5964912280701754,0.625
PXD064787,with_methods,16,23,16,0,7,17,26,0.6956521739130435,7,9,9,9,10,0.2647058823529412,0.2647058823529412,0.30303030303030304
PXD064926,abstract_only,0,26,0,0,26,0,39,0.0,26,39,0,0,0,0.0,0.0,0.0
PXD065292,abstract_only,4,21,4,0,17,4,26,0.19047619047619047,17,22,2,3,4,0.07142857142857142,0.1111111111111111,0.15384615384615385
PXD065497,abstract_only,2,25,2,0,23,2,33,0.08,23,31,1,1,1,0.029411764705882353,0.029411764705882353,0.029411764705882353
PXD065898,abstract_only,6,13,6,0,7,6,19,0.46153846153846156,7,13,3,4,4,0.13636363636363635,0.19047619047619047,0.19047619047619047
PXD066033,abstract_only,2,21,2,0,19,2,31,0.09523809523809523,19,29,1,1,2,0.03125,0.03125,0.06451612903225806
PXD066260,abstract_only,7,16,7,0,9,7,21,0.4375,9,14,4,4,5,0.16666666666666666,0.16666666666666666,0.21739130434782608
PXD066711,with_methods,17,18,16,1,2,18,21,0.8421052631578947,1,3,11,11,13,0.39285714285714285,0.39285714285714285,0.5
PXD067088,with_methods,27,28,25,2,3,44,49,0.8333333333333334,1,5,29,29,30,0.453125,0.453125,0.47619047619047616
PXD067220,abstract_only,7,26,7,0,19,7,43,0.2692307692307692,19,36,6,6,7,0.13636363636363635,0.13636363636363635,0.16279069767441862
PXD067583,abstract_only,12,21,11,1,10,17,32,0.5,9,15,10,10,14,0.2564102564102564,0.2564102564102564,0.4
PXD067905,with_methods,1,21,1,0,20,1,25,0.047619047619047616,20,24,1,1,1,0.04,0.04,0.04
PXD068129,abstract_only,6,17,6,0,11,6,18,0.35294117647058826,11,12,4,4,5,0.2,0.2,0.2631578947368421
PXD068485,abstract_only,10,21,9,1,12,12,29,0.4090909090909091,11,17,6,6,9,0.17142857142857143,0.17142857142857143,0.28125
PXD068739,abstract_only,9,20,8,1,12,10,26,0.38095238095238093,11,16,3,3,4,0.09090909090909091,0.09090909090909091,0.125
PXD069096,with_methods,9,15,8,1,7,9,15,0.5,6,6,5,5,6,0.2631578947368421,0.2631578947368421,0.3333333333333333
PXD069667,with_methods,22,21,20,2,1,34,30,0.8695652173913043,-1,-4,14,14,19,0.28,0.28,0.4222222222222222
PXD071042,with_methods,22,22,20,2,2,24,28,0.8333333333333334,0,4,16,16,19,0.4444444444444444,0.4444444444444444,0.5757575757575758
PXD000412,with_methods,17,24,15,2,9,24,38,0.5769230769230769,7,14,12,12,13,0.24,0.24,0.2653061224489796
PXD000674,abstract_only,10,23,10,0,13,10,33,0.43478260869565216,13,23,10,10,10,0.30303030303030304,0.30303030303030304,0.30303030303030304
PXD001279,with_methods,30,28,27,3,1,35,33,0.8709677419354839,-2,-2,20,20,24,0.4166666666666667,0.4166666666666667,0.5454545454545454
PXD001416,abstract_only,10,26,10,0,16,11,30,0.38461538461538464,16,19,6,6,7,0.17142857142857143,0.17142857142857143,0.20588235294117646
PXD001425,with_methods,22,21,20,2,1,26,27,0.8695652173913043,-1,1,16,16,18,0.43243243243243246,0.43243243243243246,0.5142857142857142
PXD001861,abstract_only,12,21,12,0,9,12,26,0.5714285714285714,9,14,7,7,10,0.22580645161290322,0.22580645161290322,0.35714285714285715
PXD002145,abstract_only,11,18,9,2,9,13,31,0.45,7,18,4,4,8,0.1,0.1,0.2222222222222222
PXD002598,with_methods,23,24,21,2,3,23,30,0.8076923076923077,1,7,17,17,19,0.4722222222222222,0.4722222222222222,0.5588235294117647
PXD002966,abstract_only,8,18,8,0,10,11,27,0.4444444444444444,10,16,5,5,7,0.15151515151515152,0.15151515151515152,0.22580645161290322
PXD003226,with_methods,15,20,15,0,5,25,29,0.75,5,4,22,22,22,0.6875,0.6875,0.6875
PXD003362,with_methods,20,21,20,0,1,24,25,0.9523809523809523,1,1,18,18,20,0.5806451612903226,0.5806451612903226,0.6896551724137931
PXD003413,abstract_only,14,28,13,1,15,16,34,0.4482758620689655,14,18,10,10,12,0.25,0.25,0.3157894736842105
PXD003534,with_methods,27,24,24,3,0,33,32,0.8888888888888888,-3,-1,18,18,21,0.3829787234042553,0.3829787234042553,0.4772727272727273
PXD003965,abstract_only,10,28,10,0,18,12,31,0.35714285714285715,18,19,6,6,8,0.16216216216216217,0.16216216216216217,0.22857142857142856
PXD004154,with_methods,11,20,10,1,10,17,28,0.47619047619047616,9,11,5,5,7,0.125,0.125,0.18421052631578946
PXD004540,abstract_only,9,21,8,1,13,10,29,0.36363636363636365,12,19,4,5,5,0.11428571428571428,0.14705882352941177,0.14705882352941177
PXD004778,abstract_only,11,22,11,0,11,12,30,0.5,11,18,8,9,11,0.23529411764705882,0.2727272727272727,0.3548387096774194
PXD005200,abstract_only,10,11,8,2,3,10,14,0.6153846153846154,1,4,5,5,7,0.2631578947368421,0.2631578947368421,0.4117647058823529
PXD005465,abstract_only,8,16,8,0,8,10,18,0.5,8,8,2,2,7,0.07692307692307693,0.07692307692307693,0.3333333333333333
PXD005709,with_methods,23,26,23,0,3,31,36,0.8846153846153846,3,5,20,21,26,0.425531914893617,0.45652173913043476,0.6341463414634146
PXD005981,with_methods,12,15,12,0,3,15,19,0.8,3,4,11,11,12,0.4782608695652174,0.4782608695652174,0.5454545454545454
PXD006265,with_methods,22,21,18,4,3,27,22,0.72,-1,-5,12,13,15,0.32432432432432434,0.3611111111111111,0.4411764705882353
PXD006404,abstract_only,11,18,10,1,8,11,25,0.5263157894736842,7,14,5,5,7,0.16129032258064516,0.16129032258064516,0.2413793103448276
PXD006522,abstract_only,9,12,7,2,5,14,17,0.5,3,3,6,6,9,0.24,0.24,0.4090909090909091
PXD006589,abstract_only,13,27,13,0,14,19,46,0.48148148148148145,14,27,11,11,16,0.2037037037037037,0.2037037037037037,0.32653061224489793
PXD006738,with_methods,29,27,27,2,0,35,30,0.9310344827586207,-2,-5,19,19,20,0.41304347826086957,0.41304347826086957,0.4444444444444444
PXD006847,with_methods,21,21,21,0,0,29,31,1.0,0,2,18,18,22,0.42857142857142855,0.42857142857142855,0.5789473684210527
