pxd	group_name	organism	organism_score	tissue	tissue_score	disease	disease_score	cell_part	cell_part_score	cell_line	cell_line_score	instrument	instrument_score	fragmentation	fragmentation_score	enzymes	enzymes_score	modifications	modifications_score	collision_energy	collision_energy_score	gradient_time_min	gradient_time_min_score	lc_column	lc_column_score	acquisition	acquisition_score	labeling	labeling_score	ionization	ionization_score	treatment_type	treatment_type_score	treatment_name	treatment_name_score	treatment_class	treatment_class_score	fractionation	enrichment
PXD048836	A549 Lung Adenocarcinoma Standard	Homo sapiens	1.0			lung adenocarcinoma	1.0			A549	1.0	LTQ Orbitrap Velos	1.0	CID	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD048839	A549 Lung Adenocarcinoma Standard	Homo sapiens	1.0			lung adenocarcinoma	1.0			A549	1.0	Q Exactive HF	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD048840	A549 Lung Adenocarcinoma Standard	Homo sapiens	1.0			lung adenocarcinoma	1.0			A549	1.0	Orbitrap Exploris 480	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD048849	HEK293T extract with Rab GTPases	Homo sapiens	1.0							HEK293T	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; Limited proteolysis	
PXD048853	Arabidopsis root microsomal membranes	Arabidopsis thaliana	1.0					membrane	0.735			Orbitrap Exploris 480	1.0	HCD	1.0	trypsin; LysC	1.0; 0.933	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0	True; microsomal membrane preparation	phosphorylation; TiO2
PXD048866	SCC7/SCC7-M Mouse Tumor Cell Line	Mus musculus	1.0			head and neck squamous cell carcinoma	1.0					Orbitrap Exploris 480	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0									True; high pH reverse-phase HPLC	
PXD048880	Primary GBM Cultures	Homo sapiens	1.0			glioblastoma	1.0					Orbitrap Fusion	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0	True; streptavidin affinity chromatography	surface proteins; biotinylation and streptavidin affinity
PXD048880	U87MG Cell Line	Homo sapiens	1.0			glioblastoma	1.0			U-87MG	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0	True; streptavidin affinity chromatography	surface proteins; biotinylation and streptavidin affinity
PXD048906	ATG2A-WIPI4 crosslinking complex	Homo sapiens	1.0									Orbitrap Fusion Lumos; Orbitrap Eclipse	1.0; 1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		
PXD048929	Mouse Brain Gephyrin Interactome	Mus musculus	1.0	brain	1.0							Q Exactive HF-X	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0		phosphorylation; immunoprecipitation
PXD048931	KBM7 and Jurkat cells treated with degraders	Homo sapiens	1.0			acute myeloid leukemia; acute leukemia	0.752; 1.0			Jurkat	1.0	Orbitrap Fusion; Q Exactive HF	1.0; 1.0	HCD	1.0	trypsin; LysC	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	SILAC	1.0	ESI	1.0					small molecule	1.0		
PXD048931	Jurkat cells treated with CC-885 (unlabeled)	Homo sapiens	1.0			acute myeloid leukemia; acute leukemia	0.752; 1.0			Jurkat	1.0	Orbitrap Fusion; Q Exactive HF	1.0; 1.0	HCD	1.0	trypsin; LysC	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		
PXD048934	Global and Membrane Proteomics of HL60-derived cells	Homo sapiens	1.0					membrane	1.0	HL-60	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					biologics; environmental	1.0; 1.0	True; high-pH reverse phase	
PXD048938	Human Plasma Proteomics (BA vs IHC)	Homo sapiens	1.0	blood plasma	1.0							Q Exactive HF-X	0.96	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA; DIA	1.0; 1.0	label-free	1.0	ESI	1.0							True; high pH reversed phase	
PXD048963	E6AP variants with chemical treatments	Homo sapiens	1.0									Q Exactive HF	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0					small molecule; biologics	1.0; 1.0		
PXD048968	HepaRG cells treated with Okadaic acid	Homo sapiens	1.0									Q Exactive Plus	1.0					C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		phosphorylation; TiO2
PXD048975	Arabidopsis AtGRP7 RNP capture	Arabidopsis thaliana	1.0									Orbitrap Fusion Lumos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; high pH reverse phase	
PXD049014	Fetal and Adult LMPP Secretome	Mus musculus	1.0			healthy	1.0					Orbitrap Exploris 480	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0					environmental; biologics	1.0; 1.0		
PXD049018	BJ cells with STING activation	Homo sapiens	1.0					nucleus	1.0			Orbitrap Exploris 480	1.0			trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0							small molecule	1.0	True; nuclear fractionation	biotinylated proteins; streptavidin purification
PXD049019	Breast Cancer EVs on Matrices	Homo sapiens	1.0			breast cancer	1.0			MDA-MB-231	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	trypsin; LysC	1.0; 0.933	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					environmental	1.0	True; high pH solid phase extraction	
PXD049034	Mouse Tissue Interactome	Mus musculus	1.0	spleen; liver; skeletal muscle; kidney; brain	1.0; 1.0; 0.898; 1.0; 1.0							Orbitrap Fusion	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049067	Mouse Epididymal Sperm (Caput, Corpus, Cauda) and ALK Inhibitor Treated Sperm	Mus musculus	1.0	sperm	0.837							Orbitrap Fusion Lumos	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0							small molecule	1.0	True; high-pH reverse phase	phosphorylation; Ti4+-IMAC
PXD049082	Caco-2 differentiation	Homo sapiens	1.0									LTQ Orbitrap Elite; Orbitrap Fusion Lumos	1.0; 1.0			trypsin; LysC	1.0; 1.0	C-carbamidomethylation	1.0							DDA	1.0	TMT	1.0										
PXD049087	Caco-2 Differentiation Acetylomics	Homo sapiens	1.0									Orbitrap Exploris 480	1.0			trypsin; LysC	1.0; 1.0	K-acetylation	1.0							DDA	1.0	TMT	1.0										acetylation; immunoaffinity enrichment
PXD049091	Caco-2 differentiation	Homo sapiens	1.0									Orbitrap Exploris 480	1.0			trypsin; LysC	1.0; 1.0							HILIC	1.0	DDA	1.0	TMT	1.0									True; HILIC	N-glycosylated residue; acetylation enrichment
PXD049116	Mammary Fibroblasts Proteome	Homo sapiens	1.0	breast	1.0	breast cancer	1.0					LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0							True; SDS-PAGE	
PXD049181	HeLa and hiPSC single cells	Homo sapiens	1.0							HeLa	1.0	Orbitrap Astral	1.0	HCD	1.0	trypsin; LysC	1.0; 0.933							reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		
PXD049203	Mouse Liver Hepatocytes	Mus musculus	1.0	liver	1.0	type 2 diabetes	0.983	mitochondria	1.0			Q Exactive HF	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; S-Trap	phosphorylation; Co-immunoprecipitation
PXD049249	GCT-derived CAF and non-malignant fibroblasts secretome	Homo sapiens	1.0	fibroblast	1.0	healthy	1.0					Orbitrap Fusion Lumos	1.0													DIA	1.0	label-free	1.0										
PXD049261	CT26.WT colon cancer tissue from Balb/c mice	Mus musculus	1.0	colon	1.0	colon cancer	1.0					Q Exactive Plus	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					small molecule; environmental	1.0; 1.0		
PXD049284	ALK+ patient-derived lung cancer cell lines	Homo sapiens	1.0			non-small cell lung carcinoma	1.0					Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					small molecule	1.0	True; basic pH reverse phase chromatography	phosphorylation; Fe-NTA spin column
PXD049295	Mus musculus Blood plasma Duchenne muscular dystrophy	Mus musculus	1.0	blood plasma	1.0							Orbitrap Exploris 240	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049299	SKMEL-28 melanoma cells treated with imidazopyrazole	Homo sapiens	1.0			skin cancer	1.0			SK-MEL-28	1.0	Orbitrap Fusion	0.744	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		
PXD049302	SH-SY5Y mitochondrial fractions	Homo sapiens	1.0					mitochondria	1.0	SH-SY5Y	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					small molecule	1.0	True; OptiPrep density gradient	mitochondria; density gradient centrifugation
PXD049330	HEK293T cells treated with SP3N and other degraders	Homo sapiens	1.0							HEK293T	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					small molecule	1.0	True; basic pH reversed-phase HPLC	
PXD049336	HeLa LSD mutants and controls (TMT)	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					biologics	1.0	True; basic pH reverse phase HPLC	
PXD049336	HeLa LSD mutants and controls (nMOST)	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0		
PXD049336	HeLa NPC2-/- (TMT)	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					biologics	1.0	True; basic pH reverse phase HPLC	
PXD049336	HeLa NPC2-/- (TMT) + FAC	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa NPC2-/- (TMT) + Galactose	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa NPC2-/- (TMT) + Galactose + FAC	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa NPC2-/- (nMOST) + EBSS	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049336	HeLa NPC2-/- (nMOST) + Fed	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049336	HeLa NPC1-/- (nMOST) + EBSS	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049336	HeLa NPC1-/- (nMOST) + Fed	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049336	HeLa NPC1-/- (TMT)	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					biologics	1.0	True; basic pH reverse phase HPLC	
PXD049336	HeLa NPC1-/- (TMT) + FAC	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa NPC1-/- (TMT) + Galactose	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa NPC1-/- (TMT) + Galactose + FAC	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa Control (TMT)	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa Control (TMT) + FAC	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa Control (TMT) + Galactose	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa Control (TMT) + Galactose + FAC	Homo sapiens	1.0							HeLa	1.0	Orbitrap Fusion Lumos	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; basic pH reverse phase HPLC	
PXD049336	HeLa Control (nMOST) + EBSS	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049336	HeLa Control (nMOST) + Fed	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049336	HeLa LIPA-/- (nMOST) + EBSS	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049336	HeLa LIPA-/- (nMOST) + Fed	Homo sapiens	1.0							HeLa	1.0	Orbitrap Eclipse	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								value
PXD049339	NAGK cell line proteomics	Homo sapiens	1.0									Orbitrap Fusion	1.0	CID; EThcD	1.0; 1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								phosphorylation; affinity-purification
PXD049366	Human Peripheral Nerve	Homo sapiens	1.0					extracellular matrix; nucleus; membrane; cytoplasm; mitochondria; endoplasmic reticulum	1.0; 1.0; 0.866; 0.881; 1.0; 0.772			Orbitrap Eclipse	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD049377	Human plasma DNA-bound proteins	Homo sapiens	1.0	blood plasma	0.938	septic shock; adult respiratory distress syndrome	0.766; 0.907					Q Exactive HF	1.0	HCD	1.0	trypsin; LysC	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA; DIA	1.0; 1.0	label-free	1.0	ESI	1.0							True; co-immunoprecipitation	DNA-bound proteins; co-immunoprecipitation
PXD049427	Saccharomyces cerevisiae Ulp2 evolved lines	Saccharomyces cerevisiae	1.0									Q Exactive Plus	1.0	HCD	1.0	trypsin	1.0	M-oxidation	0.706					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; Ni-NTA and anti-FLAG affinity purification	sumoylation; Ni-NTA and anti-FLAG affinity purification
PXD049681	Human Flp-In 293 T-REx cells	Homo sapiens	1.0					cytoplasm	0.955			Orbitrap Fusion Lumos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0		immunoprecipitation; immunoprecipitation
PXD049682	Ovarian cancer cells and TIMELESS haploinsufficient model	Homo sapiens	1.0			colon cancer	1.0					Orbitrap Fusion Lumos	1.0	ETD; HCD	1.0; 1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; high pH	ADP-ribosylation; GST-tagged Af1521 macrodomain beads
PXD049684	Human Flp-In 293 T-REx cells under IFN stimulation and steady-state	Homo sapiens	1.0					cytoplasm	0.955			Orbitrap Fusion Lumos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; FASP	protein-protein interaction; immunoprecipitation
PXD049708	Colon cancer organoids	Homo sapiens	1.0			colon cancer	1.0					Orbitrap Exploris 480	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; C18 cartridges	ubiquitination; Immuno-affinity purification
PXD049708	Colon cancer organoids phosphoproteome	Homo sapiens	1.0			colon cancer	1.0					Orbitrap Exploris 480	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; IMAC	phosphorylation; IMAC
PXD049792	Mouse Kidney ADPKD and 3az-treated	Mus musculus	1.0	kidney	1.0							Q Exactive HF	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		
PXD049793	Ppg1 FLAG affinity purification	Saccharomyces cerevisiae	1.0									Orbitrap Fusion	1.0			trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD049795	Human plasma T1D samples	Homo sapiens	1.0	blood plasma	1.0	type 1 diabetes	0.976					Orbitrap Fusion Lumos	1.0	HCD; CID	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0							True; HILIC	
PXD049957	Liver Akt-CA	Mus musculus	1.0	liver	1.0			mitochondria	1.0			Orbitrap Exploris 480	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	0.706					biologics	1.0	True; TiO2 enrichment	phosphorylation; TiO2
PXD049957	Primary Hepatocytes Insulin	Mus musculus	1.0	liver	1.0			mitochondria	1.0			Orbitrap Exploris 480	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	0.706					biologics	1.0	True; TiO2 enrichment	phosphorylation; TiO2
PXD049998	COPD and Healthy Control BALF EVs	Homo sapiens	1.0	bronchoalveolar lavage fluid	0.883	healthy	1.0					Orbitrap Exploris 480	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0							True; size exclusion chromatography	
PXD050005	CT5-3hTERT fibroblast cell line treated with inhibitors	Homo sapiens	1.0									Orbitrap Fusion Lumos	1.0			trypsin	0.844	C-carbamidomethylation	1.0							DIA	1.0	label-free	1.0							small molecule	1.0	True; FAIMS	
PXD050045	CAF cell lines	Mus musculus	1.0									Q Exactive HF-X	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0		
PXD050049	Placenta membrane extracts immunoprecipitated with VEGFR2, MDMX, or PICALM antibodies	Homo sapiens	1.0	placenta	1.0	pre-eclampsia; type 2 diabetes	0.868; 0.856	membrane	1.0			Q Exactive Plus	1.0			trypsin	0.844	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; SDS-PAGE	
PXD050077	Mouse Brain Cortices (WT and Kctd10-cKO)	Mus musculus	1.0	brain	1.0							Orbitrap Exploris 480	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0										
PXD050085	HeLa cells immunoprecipitation	Homo sapiens	1.0					mitochondria	1.0	HeLa	1.0	Q Exactive HF	1.0			trypsin	1.0	C-carbamidomethylation; S-phosphorylation	1.0; 1.0							DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0		phosphorylation; immunoprecipitation
PXD050090	WT Cerebellum	Mus musculus	1.0									Q Exactive Plus	1.0	HCD	1.0			C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD050113	Buccal cells	Homo sapiens	1.0									Q Exactive HF	1.0	HCD	1.0			K-acetylation; K-dimethylation	1.0; 0.891					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0		
PXD050113	PBMCs	Homo sapiens	1.0	blood plasma	1.0							Q Exactive HF	1.0	HCD	1.0			K-acetylation; K-dimethylation	1.0; 0.891					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0		
PXD050113	Plasma	Homo sapiens	1.0	blood plasma	1.0							Q Exactive HF	1.0	HCD	1.0									reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0		
PXD050135	IP-MS Brain Cortex	Mus musculus	1.0	brain	1.0											trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0									True; SDS-PAGE gel slice	
PXD050135	Quantitative Cortices	Mus musculus	1.0	brain	1.0							Orbitrap Exploris 480	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DIA	1.0	label-free	1.0									True; Acetone precipitation	
PXD050141	Primary keratinocytes KRT32 pull-down	Homo sapiens	1.0									Q Exactive Plus	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; SDS-PAGE gel electrophoresis	
PXD050155	APAP-treated hepatocytes	Mus musculus	1.0	liver	1.0							Q Exactive HF; Orbitrap Fusion	1.0; 1.0	HCD	1.0	trypsin; LysC	1.0; 0.933	M-oxidation; M-oxidation; M-oxidation	0.777; 0.78; 0.716					reverse phase C18	1.0	DIA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		
PXD050209	HUVEC Control and GSNO-treated	Homo sapiens	1.0									Orbitrap Exploris 240	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							small molecule	1.0		S-nitrosylation; immunoprecipitation
PXD050237	Human Endometrial Stromal Cells (EnSCs)	Homo sapiens	1.0	uterine endometrium	0.717	pre-eclampsia	1.0					Q Exactive HF-X	0.983	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics; small molecule	1.0; 1.0		
PXD050256	Patient Fibroblasts and HEK293T Cells	Homo sapiens	1.0	fibroblast	1.0					HEK293T	1.0	Q Exactive HF	1.0	HCD	1.0	trypsin; chymotrypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA; DIA	1.0; 1.0	label-free	1.0									True; protease digestion	O-fucose; immunopurification
PXD050260	Breast cancer cell lines (MCF-7, MDA-MB-468, HCC1806)	Homo sapiens	1.0			breast cancer	1.0			MCF-7; MDA-MB-468; HCC-1806	1.0; 1.0; 1.0	Q Exactive HF-X	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					small molecule	1.0	True; off-line basic reversed-phase	
PXD050279	U251 and U343 Glioblastoma Cell Lines	Homo sapiens	1.0			glioblastoma	1.0					Q Exactive HF	1.0	HCD	1.0			C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
